# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  4 13:28:02 2025
#
# User preference: *
#
# COLUMN disposition:    Archive Disposition
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
#
disposition,pl_orbper,pl_rade,pl_insol,pl_eqt,st_teff,st_rad,rastr,ra,decstr,dec
FALSE POSITIVE,2.51940390000,7.65729000,219.3440,,6380.00,1.760000,11h24m56.63s,171.2359519,-02d05m06.57s,-2.0851597
FALSE POSITIVE,2.51938600000,19.60000000,,,,2.030000,11h24m56.63s,171.2359519,-02d05m06.57s,-2.0851597
FALSE POSITIVE,2.51881781000,,,,6380.00,1.762770,11h24m56.63s,171.2359519,-02d05m06.57s,-2.0851597
FALSE POSITIVE,2.51940780000,7.99000000,,,7119.00,1.720000,11h24m56.63s,171.2359519,-02d05m06.57s,-2.0851597
CANDIDATE,13.38362900000,2.87289326,,,5216.00,0.815235,12h16m08.43s,184.0351247,-01d40m25.54s,-1.6737612
CANDIDATE,13.38382000000,2.70000000,,608.00,5113.71,0.659730,12h16m08.43s,184.0351247,-01d40m25.54s,-1.6737612
CANDIDATE,11.89510000000,,,,5040.00,0.680000,12h20m43.49s,185.1812113,-01d35m18.00s,-1.5883337
CANDIDATE,40.14010000000,20.80000000,,,,0.716000,11h32m42.02s,173.1750869,-01d33m31.62s,-1.5587834
CANDIDATE,7.44330000000,2.73000000,,,,0.724000,11h14m56.82s,168.7367646,-01d27m43.99s,-1.4622181
CANDIDATE,2.63800000000,2.91000000,,1313.00,4264.47,,12h18m20.48s,184.5853275,-01d05m56.20s,-1.0989451
CANDIDATE,27.47083000000,3.36000000,,480.00,4947.03,0.749863,12h12m45.23s,183.1884790,-01d04m29.39s,-1.0748315
CANDIDATE,2.82681210000,40.10000000,,,5736.00,0.980000,11h36m10.58s,174.0440867,-00d50m26.55s,-0.8407078
CONFIRMED,0.72091000000,1.50000000,,,5633.00,0.940000,12h18m24.51s,184.6021322,-00d33m04.64s,-0.5512886
CANDIDATE,4.44044000000,1.32000000,,,,1.053000,11h34m24.06s,173.6002346,-00d20m04.45s,-0.3345702
CANDIDATE,4.44164210000,1.17000000,,,5547.00,0.900000,11h34m24.06s,173.6002346,-00d20m04.45s,-0.3345702
CANDIDATE,4.44125800000,1.12422498,,,5450.00,0.833852,11h34m24.06s,173.6002346,-00d20m04.45s,-0.3345702
CANDIDATE,11.20381000000,2.18000000,,,,1.100000,11h22m36.30s,170.6512345,-00d16m47.47s,-0.2798534
CANDIDATE,8.00687500000,2.38400000,,,5403.00,0.846000,12h22m47.38s,185.6973984,-00d07m18.78s,-0.1218824
CANDIDATE,3.36431150000,85.60000000,,,6240.00,1.320000,11h12m44.99s,168.1874780,+00d20m52.34s,0.3478732
CONFIRMED,2.13174000000,0.69200000,,,,,11h15m44.80s,168.9366786,+00d29m17.02s,0.4880606
CANDIDATE,13.83781400000,1.96000000,,,4535.00,0.700000,11h15m44.80s,168.9366786,+00d29m17.02s,0.4880606
CANDIDATE,13.83940000000,1.29000000,,,,0.554000,11h15m44.80s,168.9366786,+00d29m17.02s,0.4880606
CANDIDATE,7.79983000000,1.37000000,,,,0.554000,11h15m44.80s,168.9366786,+00d29m17.02s,0.4880606
CANDIDATE,7.79915860000,1.57000000,,,4535.00,0.700000,11h15m44.80s,168.9366786,+00d29m17.02s,0.4880606
CANDIDATE,3.88300000000,1.06000000,162.0000,,,0.554000,11h15m44.80s,168.9366786,+00d29m17.02s,0.4880606
CANDIDATE,2.33309820000,5.48000000,,,3726.00,0.500000,11h34m15.00s,173.5625041,+00d42m49.88s,0.7138555
CANDIDATE,2.33293000000,3.20000000,,,3508.00,0.224000,11h34m15.00s,173.5625041,+00d42m49.88s,0.7138555
CANDIDATE,2.33312300000,2.95000000,,,,0.224000,11h34m15.00s,173.5625041,+00d42m49.88s,0.7138555
CANDIDATE,20.20730000000,2.12000000,,,,0.762400,11h25m02.32s,171.2596557,+00d45m40.93s,0.7613692
CANDIDATE,36.70990000000,,,,5069.12,5.338710,11h37m15.48s,174.3144865,+00d46m58.75s,0.7829860
CANDIDATE,36.76233700000,3.44000000,,,4932.00,0.750000,11h37m15.48s,174.3144865,+00d46m58.75s,0.7829860
CANDIDATE,19.56579900000,6.41200000,,,4486.00,0.854000,10h54m51.80s,163.7158380,+00d50m55.24s,0.8486770
CANDIDATE,6.39916000000,1.48000000,,,,0.700600,11h31m13.03s,172.8043040,+00d57m31.09s,0.9586366
CANDIDATE,6.39913980000,1.85000000,,,5210.00,0.800000,11h31m13.03s,172.8043040,+00d57m31.09s,0.9586366
CANDIDATE,2.72273204000,,,,8002.00,2.859760,11h26m36.23s,171.6509741,+01d03m18.58s,1.0551620
CANDIDATE,15.69514200000,2.02800000,,,4270.00,0.625000,10h52m14.18s,163.0590829,+01d09m17.23s,1.1547858
CANDIDATE,2.48038000000,1.44000000,,,,1.270000,11h31m16.08s,172.8169888,+01d11m27.02s,1.1908377
CANDIDATE,1.96685790000,1.51000000,,,5063.00,0.770000,11h16m35.25s,169.1468835,+01d13m42.27s,1.2284084
CANDIDATE,1.96712000000,1.73000000,,,,0.826000,11h16m35.25s,169.1468835,+01d13m42.27s,1.2284084
FALSE POSITIVE,,,,,4419.00,0.520000,11h44m18.20s,176.0758509,+01d22m33.47s,1.3759629
CANDIDATE,12.72674300000,1.91000000,,,4767.00,0.730000,11h51m42.00s,177.9249905,+01d22m46.76s,1.3796544
CANDIDATE,13.23590000000,2.09000000,,,,0.924000,11h48m56.03s,177.2334424,+01d27m55.45s,1.4654037
CANDIDATE,0.18746328000,217.00000000,,,46696.00,17.270000,11h48m33.58s,177.1399358,+01d28m59.36s,1.4831550
CANDIDATE,8.63826310000,8.53000000,,,3720.00,0.500000,11h47m58.10s,176.9920988,+01d30m37.00s,1.5102769
CANDIDATE,8.63829000000,6.81000000,,,3960.00,0.438000,11h47m58.10s,176.9920988,+01d30m37.00s,1.5102769
CANDIDATE,8.63810000000,15.99000000,,536.00,3987.00,0.500000,11h47m58.10s,176.9920988,+01d30m37.00s,1.5102769
CANDIDATE,8.63795000000,15.10000000,,,,0.438000,11h47m58.10s,176.9920988,+01d30m37.00s,1.5102769
FALSE POSITIVE,5.79688610000,24.20000000,,,4721.00,0.720000,11h08m41.09s,167.1711994,+01d34m38.82s,1.5774487
FALSE POSITIVE,5.79687000000,27.81000000,,930.00,5192.00,0.790000,11h08m41.09s,167.1711994,+01d34m38.82s,1.5774487
CANDIDATE,0.47752520000,20.10000000,,,,0.522000,11h38m41.77s,174.6740618,+01d41m24.80s,1.6902220
CANDIDATE,22.19799200000,5.34000000,,,3508.00,0.400000,11h50m50.10s,177.7087476,+01d41m30.84s,1.6919004
CANDIDATE,44.39400000000,4.07000000,,,,0.318000,11h50m50.10s,177.7087476,+01d41m30.84s,1.6919004
CANDIDATE,3.29163000000,1.17000000,,,,0.567000,11h23m44.26s,170.9344032,+01d51m49.92s,1.8638671
CANDIDATE,3.29089980000,1.57000000,,,4671.00,0.720000,11h23m44.26s,170.9344032,+01d51m49.92s,1.8638671
CONFIRMED,0.87721400000,1.30000000,,,5820.00,0.930000,12h14m52.89s,183.7203635,+01d58m05.41s,1.9681688
CONFIRMED,0.87724000000,1.56500000,2852.0000,2038.00,5679.00,0.980000,12h14m52.89s,183.7203635,+01d58m05.41s,1.9681688
CONFIRMED,0.87703000000,1.20000000,,1874.00,5711.17,0.990833,12h14m52.89s,183.7203635,+01d58m05.41s,1.9681688
CONFIRMED,0.87718300000,1.40575209,,,5705.00,0.932487,12h14m52.89s,183.7203635,+01d58m05.41s,1.9681688
CANDIDATE,2.89641390000,2.45000000,,,3547.00,0.420000,11h22m42.94s,170.6789065,+01d59m35.55s,1.9932080
CANDIDATE,2.89607106000,,,,3565.00,0.524138,11h22m42.94s,170.6789065,+01d59m35.55s,1.9932080
CANDIDATE,2.89652800000,1.45000000,,,,0.242000,11h22m42.94s,170.6789065,+01d59m35.55s,1.9932080
CANDIDATE,0.44433632000,1.01000000,,,5208.00,0.800000,11h21m14.83s,170.3118083,+02d08m39.76s,2.1443791
CANDIDATE,0.44437200000,1.22000000,,,5540.00,0.820000,11h21m14.83s,170.3118083,+02d08m39.76s,2.1443791
CONFIRMED,3.80464000000,1.22000000,,,,,12h20m45.14s,185.1880932,+02d16m56.56s,2.2823788
CANDIDATE,7.28161000000,1.78000000,,518.00,3742.00,0.490000,11h57m57.96s,179.4915118,+02d19m17.39s,2.3214970
CANDIDATE,7.28116000000,1.79000000,,,3726.00,0.541438,11h57m57.96s,179.4915118,+02d19m17.39s,2.3214970
CANDIDATE,7.28076000000,2.60000000,,,,0.399000,11h57m57.96s,179.4915118,+02d19m17.39s,2.3214970
CANDIDATE,7.28138000000,17.00000000,,,3784.00,0.399000,11h57m57.96s,179.4915118,+02d19m17.39s,2.3214970
CANDIDATE,7.28131000000,1.90000000,,,3748.00,0.510000,11h57m57.96s,179.4915118,+02d19m17.39s,2.3214970
CANDIDATE,4.58328000000,2.21000000,,,,0.545000,11h09m47.44s,167.4476762,+02d20m50.31s,2.3473081
CANDIDATE,1.65336000000,1.51000000,,,,0.545000,11h09m47.44s,167.4476762,+02d20m50.31s,2.3473081
CANDIDATE,5.28081000000,10.90000000,,,6227.00,3.010000,11h17m47.27s,169.4469645,+02d27m21.89s,2.4560803
CANDIDATE,5.28130579000,,,,6161.41,2.669570,11h17m47.27s,169.4469645,+02d27m21.89s,2.4560803
CANDIDATE,440.00000000000,16.30000000,,,4600.00,0.850000,11h34m47.14s,173.6964045,+02d31m37.44s,2.5270664
CANDIDATE,30.00000000000,22.80000000,,,3400.00,0.890000,11h20m31.86s,170.1327528,+02d35m12.91s,2.5869200
CANDIDATE,,24.90000000,,,,0.600900,11h20m31.86s,170.1327528,+02d35m12.91s,2.5869200
CANDIDATE,7.65553300000,2.32800000,,,5114.00,0.751000,11h04m14.49s,166.0603718,+02d39m20.84s,2.6557881
FALSE POSITIVE,27.77038800000,25.10000000,,,4598.00,0.710000,11h48m56.25s,177.2343917,+02d48m27.23s,2.8075643
FALSE POSITIVE,27.77045000000,32.79000000,,441.00,5086.00,8.150000,11h48m56.25s,177.2343917,+02d48m27.23s,2.8075643
CANDIDATE,0.25966900000,0.77000000,,,4340.00,0.690000,11h28m10.65s,172.0443891,+02d49m36.23s,2.8267296
CANDIDATE,0.25967056000,0.74200000,,,3982.00,0.590000,11h28m10.65s,172.0443891,+02d49m36.23s,2.8267296
CANDIDATE,5.54583000000,0.44100000,,,,0.340000,11h28m10.65s,172.0443891,+02d49m36.23s,2.8267296
CANDIDATE,18.45020000000,2.52000000,,,,0.717000,11h26m04.24s,171.5176470,+02d53m12.44s,2.8867875
CANDIDATE,35.62100000000,1.89000000,,420.00,5440.00,0.898000,11h07m12.24s,166.8010058,+03d02m23.77s,3.0399357
CANDIDATE,4.13330000000,1.20000000,,,,0.312000,11h48m24.48s,177.1019945,+03d05m07.27s,3.0853526
CANDIDATE,1.96114690000,5.93000000,,,4166.00,0.640000,11h16m51.57s,169.2148600,+03d21m50.01s,3.3638919
CANDIDATE,1.96133691104,15.86577929,533.3830,1225.69,4427.00,1.067380,11h16m51.57s,169.2148600,+03d21m50.01s,3.3638919
CANDIDATE,40.73020000000,7.80000000,,,5840.00,0.980000,11h40m57.78s,175.2407614,+03d40m53.55s,3.6815406
CANDIDATE,40.73620000000,7.28000000,,529.00,5618.00,0.850000,11h40m57.78s,175.2407614,+03d40m53.55s,3.6815406
CANDIDATE,18.10220826000,,,,6141.10,2.047780,11h29m32.58s,172.3857482,+03d43m55.12s,3.7319788
CANDIDATE,0.60408352000,2.26000000,,,4331.00,0.670000,11h53m44.71s,178.4363057,+03d55m55.93s,3.9322038
CANDIDATE,3.52743000000,1.11000000,,,3624.00,0.257000,11h35m18.64s,173.8276491,+03d56m02.46s,3.9340165
CANDIDATE,3.52725000000,1.21000000,,,,0.257000,11h35m18.64s,173.8276491,+03d56m02.46s,3.9340165
CANDIDATE,3.52674000000,1.32000000,,,3413.00,0.350987,11h35m18.64s,173.8276491,+03d56m02.46s,3.9340165
CANDIDATE,3.52690240000,2.98000000,,,4332.00,0.670000,11h35m18.64s,173.8276491,+03d56m02.46s,3.9340165
CANDIDATE,6340.00000000000,12.80000000,,,4800.00,0.880000,11h56m39.96s,179.1664861,+03d59m11.17s,3.9864368
CANDIDATE,9.32169100000,17.32500000,,,5089.00,0.678000,11h05m01.57s,166.2565337,+04d08m42.28s,4.1450789
CANDIDATE,6.66200000000,1.59000000,,,,0.483000,11h15m38.80s,168.9116543,+04d11m35.40s,4.1931655
CONFIRMED,2.71578000000,1.03000000,,,,,11h40m23.33s,175.0972238,+04d33m26.75s,4.5574311
CONFIRMED,2.04780000000,0.90819000,,,4520.00,0.655000,11h35m45.24s,173.9385102,+04d36m59.15s,4.6164303
CANDIDATE,,35.00000000,,,,1.266000,11h12m01.95s,168.0081427,+04d55m55.31s,4.9320303
FALSE POSITIVE,27.27048734000,,,,5990.87,2.564000,11h14m10.27s,168.5427766,+04d59m17.22s,4.9881156
FALSE POSITIVE,27.24280800000,93.00000000,,,,2.540000,11h14m10.27s,168.5427766,+04d59m17.22s,4.9881156
FALSE POSITIVE,27.24273000000,31.73000000,,707.00,6166.00,0.920000,11h14m10.27s,168.5427766,+04d59m17.22s,4.9881156
FALSE POSITIVE,27.24291200000,18.80000000,,,5547.00,0.900000,11h14m10.27s,168.5427766,+04d59m17.22s,4.9881156
CANDIDATE,1.39533600000,0.76000000,,,,0.280000,11h22m47.45s,170.6976906,+05d05m42.62s,5.0951726
CANDIDATE,1.39533316000,,,,3433.00,0.424658,11h22m47.45s,170.6976906,+05d05m42.62s,5.0951726
CANDIDATE,1.39515130000,0.87900000,,,3390.00,0.320000,11h22m47.45s,170.6976906,+05d05m42.62s,5.0951726
CANDIDATE,15.37910000000,1.89000000,,,,0.336000,11h36m07.60s,174.0316480,+05d15m07.64s,5.2521219
CANDIDATE,33.51070000000,2.14000000,,,5683.00,0.896000,11h42m37.00s,175.6541539,+05d53m39.22s,5.8942286
CANDIDATE,33.51569000000,3.83000000,,613.00,5552.00,0.710000,11h42m37.00s,175.6541539,+05d53m39.22s,5.8942286
CANDIDATE,33.51160000000,2.89000000,,,,0.875000,11h42m37.00s,175.6541539,+05d53m39.22s,5.8942286
CANDIDATE,33.51360700000,2.47313225,,,5628.00,0.857642,11h42m37.00s,175.6541539,+05d53m39.22s,5.8942286
CANDIDATE,33.51539900000,2.03000000,,,4222.00,0.650000,11h42m37.00s,175.6541539,+05d53m39.22s,5.8942286
CONFIRMED,3.96151000000,1.00000000,,,,,11h17m56.08s,169.4836540,+05d59m17.84s,5.9882890
CONFIRMED,3.96165000000,1.48000000,,,,0.634000,11h17m56.08s,169.4836540,+05d59m17.84s,5.9882890
CANDIDATE,6.97251000000,2.01000000,,,,0.625200,11h14m17.03s,168.5709572,+06d03m39.06s,6.0608498
CONFIRMED,4.16980000000,1.04000000,,,5053.00,0.628461,11h40m49.62s,175.2067520,+06d08m05.33s,6.1348146
CONFIRMED,4.16959000000,1.10000000,,,,,11h40m49.62s,175.2067520,+06d08m05.33s,6.1348146
CONFIRMED,4.16888000000,1.41000000,,,,0.628000,11h40m49.62s,175.2067520,+06d08m05.33s,6.1348146
CANDIDATE,12.33890000000,2.11000000,,,,0.628000,11h40m49.62s,175.2067520,+06d08m05.33s,6.1348146
CANDIDATE,12.33913300000,2.59000000,,,4751.00,0.730000,11h40m49.62s,175.2067520,+06d08m05.33s,6.1348146
CANDIDATE,2.89465000000,1.75000000,,,,0.702000,11h47m33.66s,176.8902497,+06d14m26.58s,6.2407166
CANDIDATE,3.83794000000,1.51000000,,,,0.809000,11h51m57.10s,177.9879350,+06d26m25.62s,6.4404496
CANDIDATE,5.24086000000,1.46000000,,,,0.809000,11h51m57.10s,177.9879350,+06d26m25.62s,6.4404496
CANDIDATE,2790.00000000000,12.20000000,,,5100.00,0.930000,11h23m59.26s,170.9969231,+07d09m53.81s,7.1649482
CANDIDATE,8.91058000000,2.80000000,,,,1.028000,11h46m40.12s,176.6671476,+07d14m36.08s,7.2433545
CANDIDATE,28.26920000000,3.35000000,,,5631.00,1.290000,11h36m25.61s,174.1067018,+07d45m10.79s,7.7529977
CANDIDATE,28.27064200000,2.79000000,,,5545.00,0.900000,11h36m25.61s,174.1067018,+07d45m10.79s,7.7529977
CANDIDATE,28.26710000000,2.94000000,,,,1.028000,11h36m25.61s,174.1067018,+07d45m10.79s,7.7529977
CANDIDATE,28.27176100000,2.71006330,,,5548.00,0.933556,11h36m25.61s,174.1067018,+07d45m10.79s,7.7529977
CANDIDATE,28.27170000000,,,,5564.00,1.025940,11h36m25.61s,174.1067018,+07d45m10.79s,7.7529977
CANDIDATE,4.73172000000,1.70000000,,,,1.028000,11h36m25.61s,174.1067018,+07d45m10.79s,7.7529977
CANDIDATE,0.78202200000,1.58000000,,,,0.940000,11h39m40.95s,174.9206066,+07d49m32.95s,7.8258194
CANDIDATE,0.78214992000,1.29000000,,,5144.00,0.790000,11h39m40.95s,174.9206066,+07d49m32.95s,7.8258194
CANDIDATE,15.47690000000,2.89000000,,,,0.660000,11h25m35.90s,171.3995685,+07d52m18.91s,7.8719192
CANDIDATE,6.44986480000,2.63000000,,,5395.00,0.850000,11h23m44.12s,170.9338271,+07d55m01.45s,7.9170687
CANDIDATE,6.45027000000,2.29000000,,,,0.894000,11h23m44.12s,170.9338271,+07d55m01.45s,7.9170687
FALSE POSITIVE,1.19478000000,1.65000000,,,3671.00,0.235000,11h23m34.35s,170.8931433,+07d56m04.57s,7.9346019
FALSE POSITIVE,,,,,4786.00,0.700000,11h38m37.67s,174.6569397,+07d57m34.43s,7.9595633
FALSE POSITIVE,1.57718320000,33.40000000,,,8210.00,1.940000,06h36m44.23s,99.1842750,+21d39m05.64s,21.6515670
FALSE POSITIVE,1.57753000000,26.00000000,,,7747.00,1.930000,06h36m44.23s,99.1842750,+21d39m05.64s,21.6515670
CANDIDATE,3.26203800000,,,,10318.00,5.273970,06h10m21.86s,92.5910909,+23d47m38.96s,23.7941563
CANDIDATE,4.46540000000,45.00000000,,,,2.300000,06h23m27.24s,95.8635012,+14d32m49.60s,14.5471107
CANDIDATE,21.14057400000,31.50000000,,,6205.00,1.290000,06h06m01.01s,91.5042033,+22d53m30.35s,22.8917650
CANDIDATE,5.74372000000,,,,,,06h18m08.49s,94.5353560,+24d50m02.31s,24.8339752
CANDIDATE,3.29238180000,19.60000000,,,7824.00,1.870000,06h20m59.39s,95.2474442,+26d07m31.40s,26.1253891
CANDIDATE,6.90487000000,53.00000000,,,6599.00,1.450000,06h57m03.90s,104.2662530,+18d37m36.55s,18.6268200
CANDIDATE,6.90505300000,,,,,,06h57m03.90s,104.2662530,+18d37m36.55s,18.6268200
CANDIDATE,6.90552110000,33.60000000,,,6722.00,1.890000,06h57m03.90s,104.2662530,+18d37m36.55s,18.6268200
CANDIDATE,1.69637400000,35.30000000,,,,1.793000,06h53m26.72s,103.3613273,+16d49m59.19s,16.8331077
CANDIDATE,3.04613600000,76.00000000,,,,1.698000,06h20m43.94s,95.1830838,+24d54m15.34s,24.9042603
CANDIDATE,3.04593830000,19.00000000,,,5529.00,0.890000,06h20m43.94s,95.1830838,+24d54m15.34s,24.9042603
CANDIDATE,3.04622000000,29.00000000,,,5529.00,0.890000,06h20m43.94s,95.1830838,+24d54m15.34s,24.9042603
CANDIDATE,3.23792000000,,,,4500.00,0.639668,06h41m30.91s,100.3787709,+20d55m18.78s,20.9218836
CANDIDATE,3.23854200000,1.67000000,,,4446.00,0.690000,06h41m30.91s,100.3787709,+20d55m18.78s,20.9218836
CANDIDATE,3.23670000000,1.58000000,,,4863.00,0.740000,06h41m30.91s,100.3787709,+20d55m18.78s,20.9218836
CANDIDATE,6.27190920000,60.00000000,,,7254.00,1.810000,06h14m17.23s,93.5717918,+18d37m37.26s,18.6270161
FALSE POSITIVE,23.77820000000,98.00000000,,,7498.00,2.090000,06h31m05.92s,97.7746683,+17d42m04.28s,17.7011893
CANDIDATE,1.42636000000,6.66000000,,,,4.280000,06h25m24.49s,96.3520410,+24d39m57.06s,24.6658505
CANDIDATE,3.97928700000,37.50000000,,,7430.00,1.840000,06h38m02.58s,99.5107441,+20d56m21.40s,20.9392785
CANDIDATE,2.14175190000,86.20000000,,,6492.00,1.590000,06h26m23.88s,96.5994993,+27d56m44.15s,27.9455981
CANDIDATE,2.86136000000,,,,3697.00,0.501290,06h57m23.83s,104.3493021,+19d30m24.94s,19.5069285
CANDIDATE,3.10622000000,,,,3636.00,0.501135,06h41m37.11s,100.4046210,+24d12m23.90s,24.2066400
CANDIDATE,1.81455300000,,,,4618.00,10.056600,06h38m13.24s,99.5551497,+18d13m42.39s,18.2284424
