# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Oct  5 00:53:21 2025
#
# User preference: *
#
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandep:     Planet Transit Depth Value [ppm]
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_eqt:         Planet Equilibrium Temperature Value [K]
# COLUMN pl_insol:       Planet Insolation Value [Earth flux]
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
#
tfopwg_disp,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_eqt,pl_insol,st_teff,st_rad,ra,dec
PC,9.6837921,2.4006056,4238.2399008,,1914.6989260,3176.3106916,8598.7000000,,142.5211590,-51.5171140
FP,14.2628757,6.9350494,913.2067174,2.4765813,980.3628831,153.2069421,5690.0000000,0.8538980,125.4346340,-51.7594420
PC,3.2834565,1.5370000,1558.0000000,2.8764800,992.0000000,161.0920000,4272.0000000,0.6800000,167.1332750,-29.6531350
PC,11.0287500,2.7150000,1694.0000000,2.7658600,548.0000000,15.0463000,4272.0000000,0.6800000,167.1332750,-29.6531350
PC,5.0113292,1.0240000,1210.0000000,2.5231400,567.0000000,17.1793000,4272.0000000,0.6800000,167.1332750,-29.6531350
FP,1.0160600,2.8430000,240.0000000,1.2070400,2023.0000000,2784.0400000,4634.0000000,0.6800000,157.0983370,-51.7054090
FP,36.2221400,5.1070000,7170.0000000,,,,,,88.7390900,-65.9588390
KP,3.5478540,3.4943330,10424.3718000,14.5818410,1504.8589530,1212.0043760,6351.0000000,1.4000000,312.4574880,-24.4286940
FP,12.1246519,4.6120000,7279.0000000,17.6729000,1057.0000000,207.3200000,4807.6000000,1.0700000,155.8314780,-57.5902480
FP,5.6526230,3.4340000,1250.0000000,8.9435400,2011.0000000,2717.0600000,6415.4000000,1.9200000,140.8838900,-67.0260060
PC,5.6643704,3.8087395,3491.8232968,14.7738943,2385.8536488,7657.6621505,10395.0000000,2.3383701,159.2215060,-42.5416390
FP,29.0160175,5.3450000,1389.0000000,6.7740600,,33.2234000,6113.1000000,2.0100000,87.2825860,-60.4984440
FP,3.6404389,2.5339234,476.3077321,3.7025342,2783.0980270,9941.2265514,9810.0000000,1.6077600,134.4417520,-49.0005780
PC,6.0744477,2.4954821,5982.5212406,30.9493217,1583.9398898,1487.5644344,5964.0000000,2.4303801,144.1502730,-61.5831820
PC,3.7795212,2.9520000,2761.0000000,5.9837500,1294.0000000,466.5280000,5771.0000000,1.1800000,157.8671120,-42.2404480
FP,1.2025238,1.9910000,390.0000000,6.3110600,5952.0000000,208477.0000000,9158.0000000,1.7400000,147.3851720,-63.3064780
FP,3.2235985,2.1590000,680.0000000,5.5134100,,2064.8000000,8904.0000000,2.1700000,128.4546380,-49.9403470
APC,4.4201250,3.9560000,2466.0000000,,,,,,149.6885450,-58.7604530
KP,4.0872956,5.5861130,3572.1712499,13.6237732,1755.0767383,2242.3605401,6036.0000000,2.2186699,319.9496970,-58.1489330
FP,2.5555500,1.5660000,340.0000000,11.5901000,2145.0000000,3520.6800000,10037.0000000,6.0400000,128.6142100,-61.4882620
FP,8.3079200,3.2280000,8350.0000000,43.1068000,1924.0000000,2276.2500000,9081.0000000,3.0500000,138.4022520,-55.1979100
PC,0.7580820,1.8184632,583.9318100,10.1273702,5499.7476332,216218.1005011,9917.0000000,3.5086601,141.9752150,-61.3300400
FP,1.4415577,2.3490000,507.0000000,3.6107800,3174.0000000,16861.8000000,6902.0000000,1.5200000,128.3023190,-52.7142020
PC,1.0085089,1.6420000,3051.0000000,,,,5215.2000000,,153.8110230,-58.7663930
FP,3.7039994,4.2770000,7590.0000000,17.5700000,2149.0000000,3546.1300000,7013.8000000,1.9000000,159.8877040,-32.5118800
FP,1.3042553,1.7060000,914.0000000,9.3647200,3569.0000000,26944.7000000,6762.0000000,1.7500000,126.4194680,-60.9075140
FP,0.6262700,0.6660000,1880.0000000,5.7216200,2101.0000000,3235.5700000,5622.0000000,0.9300000,144.5815350,-67.5050970
FP,0.3041200,0.7480000,1330.0000000,10.4170000,6413.0000000,280833.0000000,11892.0000000,2.5200000,136.5277020,-54.9039220
KP,2.1805277,2.9691750,16340.1353205,16.8088530,1654.4040680,1770.4650539,6599.0000000,1.2714601,253.7688480,-28.7105840
KP,2.1846669,2.8652800,11708.0228549,13.7028527,1549.4409801,1362.1381428,5630.0000000,1.2382400,337.4578240,-48.0030990
KP,3.7354838,4.1420000,17030.0000000,21.2315000,1670.0000000,1292.1900000,6650.0000000,1.5700000,239.9622480,-28.0617940
FA,21.7016690,8.2676424,211.6567325,2.3751494,685.2000000,52.0950000,5625.0000000,1.5648600,40.3659390,-71.4627490
CP,9.1398040,3.0912936,358.4157801,3.0629855,1006.9932829,243.0117630,5958.2000000,1.5800000,337.5102740,-75.6465610
FP,5.7426250,2.8602930,1105.7608670,13.0885320,,,5664.0000000,3.8695900,290.9771170,-33.3514160
CP,15.5077855,4.5650000,513.0000000,2.4343200,853.0000000,88.0718000,6122.0000000,1.1700000,302.1141740,-54.3175010
CP,17.4713078,4.4284819,1199.7541483,3.5766828,689.3568807,53.3700317,5783.5400000,0.9746690,293.2866150,-54.5327280
PC,5.3079507,3.2158594,391.3830934,3.0486928,1263.9861129,603.2401116,6124.3000000,1.3696300,339.2587030,-76.9176050
PC,51.1701501,6.6641048,851.4547808,2.9366826,466.7322968,11.2148229,5599.0000000,0.9433560,127.9969170,-78.4075640
PC,11.1296441,7.0473822,951.6169809,12.8402271,1518.2372485,1255.6817164,5785.0000000,3.4475601,288.9117720,-31.7908130
PC,9.4496506,2.0210000,19750.0000000,17.0216000,694.0000000,38.5799000,5509.0000000,0.9400000,269.7145030,-60.9227270
KP,2.8493825,3.5670000,8049.0000000,16.3869000,1864.0000000,2005.8300000,6900.0000000,1.7700000,68.9598160,-64.0270390
APC,2.0685633,0.3730000,502.0000000,3.8973900,619.0000000,24.4090000,5687.9000000,1.1400000,299.2909950,-48.9344760
FP,0.5409330,1.6743370,257.3474590,2.2850100,,,5525.0000000,1.2193500,284.6889080,-41.2424830
CP,4.1150576,1.0800000,487.0000000,2.3005700,826.0000000,77.3573000,5394.0000000,0.8900000,38.1209680,-78.0236830
PC,10.0665238,2.4023189,839.9044871,2.7272824,694.1792631,54.8791715,5552.0000000,0.7917420,230.5554930,-83.0562140
CP,6.4438657,1.9309449,1121.9512275,2.4603440,712.2812841,60.8313050,4803.0000000,0.7371890,296.0039350,-47.5620300
CP,12.2265595,2.1904379,1206.3693293,2.6014766,575.3502049,25.8970378,4803.0000000,0.7371890,296.0039350,-47.5620300
KP,2.1603440,1.8288540,19357.9929920,22.5035410,,,5780.0000000,1.2000000,286.3667500,-50.0673500
KP,4.6061840,3.1216430,13793.0348670,12.9622190,,,5670.0000000,1.0700000,285.0965170,-54.8933410
KP,3.1316735,2.4579197,14915.6943722,9.4995191,890.5622134,148.6544991,4351.0000000,0.7670100,288.6720050,-59.5793500
KP,3.1803620,2.1115210,21192.4633240,13.4464870,,,5498.0000000,0.9200000,284.3997620,-49.1385130
KP,2.9776446,2.9620000,13022.0000000,14.4339000,1461.0000000,758.3240000,5703.0000000,1.2200000,289.4792120,-32.8601240
KP,3.9502008,4.4440000,13914.0000000,20.5357000,1570.0000000,1009.3800000,6153.0000000,1.7100000,313.7832390,-34.1357510
FP,2.9776152,3.2569700,43218.1116830,26.8842300,1386.5000000,873.2700000,5740.0000000,1.2800000,289.4785410,-32.8613270
KP,3.5544026,2.0550535,10164.8753396,13.2006770,1214.9876435,515.0014435,5639.0000000,1.1149900,280.1841690,-58.4593880
FP,12.8379689,9.8464123,10539.0192794,25.4886382,1225.0000000,374.1290000,5765.0000000,2.4494000,75.6273070,-72.9139980
CP,3.9228016,1.8736007,31510.9004906,13.3368705,788.0973496,91.1675890,4444.0000000,0.6983000,287.4844020,-49.6649420
PC,13.9428705,3.7522756,1015.3955430,2.4233421,587.1759148,28.0927293,5206.0000000,0.7416710,310.7610040,-72.0102670
CP,0.6047392,1.0403847,1027.6833479,1.8625587,1222.5973095,528.0253155,4046.0000000,0.5803370,309.9712090,-65.4496990
KP,2.5495611,2.6173308,14921.4021936,12.9171288,1337.8645148,757.1284067,5659.0000000,1.0399700,294.6336940,-55.3302690
PC,1.6062693,1.9561305,16725.3019333,12.6436029,1374.8018137,844.2700581,5192.0000000,0.9843260,173.8107980,-88.0962130
CP,0.5182425,0.8565249,831.8920424,1.3485121,1019.3295979,255.1405815,3325.0000000,0.3909890,306.9286460,-56.4622870
PC,3.1644075,2.0576293,5603.4635466,14.8814743,1747.9490013,2206.1550476,6519.0000000,1.7234000,283.1194920,-55.3879280
KP,3.0440541,2.5984575,22236.0165376,12.1086799,1075.3184542,315.9871326,5523.0000000,0.8098680,316.9614800,-26.0967200
PC,3.9652485,1.0112593,3680.7544436,1.2305102,386.6684768,5.2829448,3296.0000000,0.1999880,276.3683250,-52.2145730
PC,2.9827800,3.1095280,6136.2316620,11.4670110,,,6027.0000000,1.2397500,282.1404090,-40.1117700
PC,16.3469053,3.5865698,2212.4257252,3.5059571,441.7489067,8.9995944,4310.0000000,0.6496130,83.2758090,-80.8154780
PC,12.9802953,2.5034417,2407.2608671,2.4241912,376.2093904,4.7341229,3614.0000000,0.4913230,296.8221940,-87.3228100
KP,1.3484961,2.4074261,18463.7636682,15.8824638,1839.6713042,2706.9606225,6346.0000000,1.1475900,268.8907070,-61.7474000
APC,3.2541181,4.3410000,13620.0000000,14.9476000,,1436.4500000,6102.0000000,1.2800000,77.6053990,-59.5356640
PC,3.7178828,5.5277827,4864.8405125,14.6986197,1689.4116185,1925.1426172,5818.0000000,2.0840001,305.5698200,-88.5684950
FP,9.3099200,3.4640000,2220.0000000,14.2968000,1067.0000000,215.2080000,6907.0000000,3.0900000,238.0010110,-76.4934900
FA,1.1539500,2.2360000,1550.0000000,5.4836400,2148.0000000,3534.3000000,6093.0000000,1.4000000,272.3113830,-76.3009550
FP,4.7370300,3.9020000,2410.0000000,25.7144000,4243.0000000,53821.0000000,11600.0000000,2.4800000,228.8430600,-52.8859890
KP,2.7667600,2.6872178,14947.4387827,12.2867389,1209.5741229,505.8840075,5346.0000000,0.9848660,313.2154750,-25.6873760
FP,2.1929600,4.5860000,4933.7400000,22.7769000,3722.0000000,31883.5000000,7009.8000000,2.9500000,242.0163150,-68.5888320
PC,1.7258410,3.6740000,2710.0000000,15.0024000,4175.0000000,50469.2000000,7348.0000000,2.3900000,222.1011340,-56.0259310
FP,1.1923000,3.1190000,3730.0000000,30.6660000,3958.0000000,40771.2000000,6534.0000000,2.0400000,217.0228820,-64.6342850
FP,11.4760600,6.0830000,3050.0000000,,,,,,215.8052640,-63.0459830
APC,0.5971314,0.4680000,910.0000000,9.0838200,1760.0000000,1596.4300000,7710.0000000,2.2800000,230.4988270,-53.8196010
PC,1.4821386,2.1867078,2102.6568299,13.7339261,2962.2418039,18197.1354531,7066.0000000,2.6647301,133.9689650,-75.9261870
FP,0.9209526,1.8602735,360.8801529,5.7349089,3430.7622437,32740.3629399,6553.0000000,2.8908899,133.8266840,-73.1733080
CP,9.1885060,2.4920000,460.0000000,2.1659100,786.0000000,63.4589000,5876.0000000,0.9800000,189.7758590,-74.5740200
CP,13.9028391,2.1264429,647.2701039,2.6136848,756.6987586,77.4841883,5876.0000000,0.9832150,189.7758590,-74.5740200
CP,10.1826983,2.8275109,667.4752458,3.0538057,957.1991659,198.3947830,6153.0000000,1.1458200,192.5892850,-88.1211110
CP,6.4410060,1.8120000,914.0000000,2.5637400,853.0000000,87.8902000,4867.0000000,0.8000000,328.7181710,-77.3388020
KP,3.1743504,2.7510860,15457.3247576,14.9172256,1320.6518234,718.9096994,5943.0000000,1.1570600,5.6185250,-59.9425890
FP,20.0731588,3.8449215,1152.9645461,4.0506906,736.1368293,69.3993155,6033.0000000,1.1484900,9.1261380,-83.5670670
FP,2.6690300,1.5480000,3110.0000000,9.3682300,1268.0000000,429.8600000,5803.5000000,1.5600000,319.5514690,-77.5291130
FP,6.6337100,2.1220000,1555.3400000,2.7537500,610.0000000,22.9987000,4138.1000000,0.6300000,263.0032090,-76.8582650
PC,2.9430800,4.0730000,4490.0000000,45.3525000,1976.0000000,2533.3400000,4437.0000000,3.1300000,310.0867430,-63.7899630
FP,341.2811281,6.3030260,972.5797241,4.7531892,846.1734340,121.1597998,6058.6000000,1.3920300,279.7212860,-85.7091370
PC,10.8680523,2.3750000,1553.0000000,2.9072600,594.0000000,20.7383000,4664.0000000,0.7600000,146.0539690,-89.4715130
PC,11.1149000,2.2600000,900.0000000,14.7645000,603.0000000,21.9713000,5042.0000000,4.9400000,253.1100330,-79.1351820
CP,4.0782392,4.8475616,6046.6959687,13.8981740,1617.8267296,1619.0081232,6501.0000000,1.7483600,155.6078630,-82.2188690
FP,7.1438600,1.4670000,11146.4000000,22.1531000,,,7860.0000000,1.9100000,274.2216180,-68.1977790
FP,7.0408300,2.9790000,1580.0000000,8.4640400,1505.0000000,852.3360000,5317.0000000,0.9100000,30.1984860,-77.6103760
KP,2.1061569,1.4688934,12142.2238514,13.0868720,1308.0417533,691.8428073,5380.0000000,0.9406970,0.7744870,-62.4693170
FP,2.4545635,2.3210000,4248.0000000,11.1276000,1899.0000000,2162.7300000,6610.0000000,1.6400000,286.7918290,-58.6972420
FP,11.4756978,0.8080000,8341.0000000,14.1098000,512.0000000,11.4585000,7262.0000000,2.1300000,291.3737830,-60.9410420
FP,2.7818600,2.4560000,490.0000000,4.9256700,1680.0000000,1323.2100000,6819.0000000,2.2100000,163.6289170,-87.2697350
FP,6.4410082,1.7980000,7076.0000000,4.5920300,471.0000000,8.2114000,3469.0000000,0.5300000,328.7108390,-77.3374330
APC,2.4887726,2.6320000,4852.0000000,,1344.9531805,773.3029498,8048.0000000,,302.1477280,-71.5524430
APC,4.4519900,2.1090000,8483.3800000,15.8858000,1571.0000000,1013.7400000,6708.3000000,1.5700000,283.3018430,-54.9108060
PC,5.0100708,2.0644756,409.4812214,2.3107394,971.6657708,210.6631712,5551.0000000,0.9062820,27.6999720,-75.8487740
PC,2.2281625,2.0150000,630.0000000,2.5677800,1434.0000000,702.9270000,5731.0000000,1.0200000,273.6020610,-66.4199740
FP,4.1381200,3.9110000,5560.0000000,,1386.0000000,613.9640000,4898.4000000,,277.4329370,-44.6255060
APC,10.9566300,3.5880000,3830.0000000,23.9726000,1389.0000000,619.0650000,6456.0000000,2.0700000,292.6048150,-46.2780740
KP,2.4997996,2.8651710,14621.2059647,13.8516093,1399.9894384,907.8624196,5650.0000000,1.1373200,55.9336390,-65.1937800
FP,1.6622600,3.3210000,6030.0000000,13.3343000,2561.0000000,7149.8900000,7301.0000000,1.6400000,293.3892720,-45.8926670
FP,4.0761100,2.0620000,1454.1800000,,,,,,269.6486420,-46.0655230
FP,3.6245513,3.0420000,1299.0000000,4.3503000,,919.5710000,6317.0000000,1.3800000,281.3694810,-52.2629280
APC,1.2092800,1.8860000,11883.8000000,15.1764000,,,5159.8000000,1.2700000,292.3915050,-37.3040090
APC,3.5187707,2.4080000,5634.0000000,14.0061000,1863.0000000,2000.0100000,6690.0000000,1.4900000,300.2129280,-43.9825290
PC,0.7724825,1.3744974,211.3168519,4.1624907,3996.2877922,60276.5000547,8271.0000000,2.5027299,298.2877080,-46.3699910
FP,1.6268695,3.2310000,1502.0000000,2.3649800,1850.0000000,1946.2300000,5034.0000000,0.7300000,279.0624690,-43.6206060
FP,2.3243900,4.4530000,2704.1800000,,4502.0000000,68217.5000000,8268.5000000,,292.1952970,-36.0002600
FP,13.5499000,1.7950000,1180.0000000,6.2463300,660.0000000,31.6652000,6209.0000000,1.6300000,289.7617990,-43.0742230
FP,4.4365100,3.3650000,1520.0000000,19.9664000,2653.0000000,8233.4100000,7101.9000000,2.3200000,284.1579590,-29.3983570
KP,3.3728770,2.6342600,17163.6041900,14.2018030,1270.1874480,615.1659210,6050.0000000,1.0200000,332.7143370,-30.7497190
CP,8.3499800,1.8360000,16680.0000000,11.1424000,588.0000000,19.9348000,4236.0000000,0.7400000,286.3760040,-41.4376400
CP,4.0686405,1.8373729,2650.0950013,3.7548333,772.3783020,84.1087660,4236.0000000,0.7419210,286.3760040,-41.4376400
PC,0.5860366,0.8098934,410.5241553,4.9064080,3263.6721812,26813.1057089,5579.0000000,2.3980300,248.4335450,61.7183340
FP,1.5502952,2.9380000,411.0000000,3.3452800,2839.0000000,10796.6000000,7851.0000000,1.8600000,298.7812810,54.7814450
FP,1.8070900,3.2970000,450.0000000,4.8624200,2569.0000000,7233.0100000,6244.0000000,2.2000000,294.8240790,31.9580370
FP,18.6922101,7.7650000,11126.0000000,18.1458000,1141.0000000,282.1750000,6277.0000000,1.6500000,290.0209600,36.6377740
CP,8.0277326,4.2840000,5705.0000000,9.0688300,1106.0000000,248.6190000,5962.7000000,1.1500000,193.3963700,85.1294950
CP,12.5187279,5.3800000,2320.0000000,5.5885700,1393.0000000,626.3620000,5729.0000000,0.9800000,192.1848980,64.8552760
CP,6.2586065,3.2010000,813.0000000,2.5159300,1087.0000000,232.3920000,5729.0000000,0.9800000,192.1848980,64.8552760
CP,26.3208756,4.4140000,800.0000000,2.7134900,631.0000000,26.4328000,5729.0000000,0.9800000,192.1848980,64.8552760
CP,18.7955470,4.3425576,470.6731965,2.1597669,672.9826313,48.4770770,5729.0000000,0.9777270,192.1848980,64.8552760
PC,1.3206356,1.6000996,1052.4255997,34.7561624,1982.7142102,3652.2582486,4919.6000000,6.3070302,301.1776800,30.4099510
FP,0.6497100,2.0760000,620.0000000,6.2318100,4731.0000000,83182.0000000,9994.0000000,2.5900000,291.4630840,25.1894370
PC,4.4780798,4.5130000,1054.0000000,11.3678000,3715.0000000,31621.7000000,7947.0000000,1.8300000,304.0343360,31.9256870
KP,3.2887898,3.4367717,7005.7247902,10.5135877,1338.8392647,759.3373533,5800.0000000,1.2417500,63.3747060,-69.2265930
FP,13.7431084,2.2850000,5688.0000000,12.0500000,844.0000000,84.3234000,5941.5000000,1.3400000,264.9615390,56.0789740
FP,16.9487087,4.2887767,156467.5479643,45.2204505,758.5937679,78.2632870,5894.7000000,1.1179000,247.5347220,80.3077660
FP,3.3686634,3.0120000,3288.0000000,42.2321000,2775.0000000,9856.2400000,7518.0000000,2.6800000,290.7089650,56.6153860
FP,11.2071839,4.3660000,3276.0000000,17.4989000,1487.0000000,813.0630000,6152.0000000,2.2400000,182.5386520,77.3522640
KP,4.8878037,2.1840000,4279.0000000,5.2915200,810.0000000,71.6805000,4757.3000000,0.7600000,297.7101760,48.0818640
FP,2.9716400,1.5340000,7350.0000000,,2076.0000000,3089.1800000,8562.5000000,,291.9214200,36.5298980
FP,0.6601790,1.6349369,473.0939303,6.1672487,5717.1532477,252487.7638842,8598.7000000,2.6243200,292.2868020,30.2973290
FP,10.9278415,2.4680000,2743.0000000,49.1695000,1129.0000000,270.1420000,6259.0000000,2.9200000,266.9622070,83.4288260
KP,5.5514888,4.3350000,9493.0000000,15.8043000,1482.0000000,802.8580000,6403.9000000,1.5500000,161.9090270,71.6557270
APC,2.3202418,2.3817612,5082.9417064,,3115.3801229,22262.0513573,8737.5000000,,300.7740160,26.8920250
KP,4.7423709,2.4988145,12650.8110411,10.5505922,970.6340996,209.7699043,5377.0000000,0.8775850,6.7026400,-56.3161020
KP,1.4810903,4.1588291,6788.5145388,20.3402421,3446.0210572,33326.7304874,9435.0000000,2.2877300,307.8599000,39.9389160
KP,3.4741012,3.3170000,15748.0000000,21.2912000,2084.3330866,3453.0700000,8894.8000000,1.6200000,294.6614130,31.2192000
FA,6.5011911,5.5463587,4501.3454064,,976.5873888,214.9638584,5485.0000000,,283.4896970,37.3808250
APC,6.0360758,1.2550000,987.0000000,9.8676300,1293.0000000,464.0970000,6528.3000000,1.6900000,182.6915620,85.7050760
PC,21.7455370,4.1960000,659.0000000,2.1020800,642.0000000,28.2504000,5704.0000000,0.9300000,254.9240430,64.6992140
FP,1.3200300,3.1750000,552.4680000,,,,,,309.2758520,32.4710190
FP,1.6865822,2.4290000,1770.0000000,,,,,,300.4193090,26.9716620
FP,13.0727479,3.0440000,4080.0000000,35.7944000,1074.0000000,221.3430000,5709.8000000,3.5900000,144.3413930,68.4587050
FP,2.9258727,4.0750000,6720.0000000,24.4055000,2066.0000000,3028.5100000,4884.5000000,1.3000000,293.4273590,29.5962960
FP,0.7377400,0.6360000,524.8520000,5.2821500,,,6449.5000000,2.1000000,282.4208100,48.0989420
KP,2.7985802,2.3801043,16708.7151957,11.9514993,1089.1458169,332.5562490,4920.0000000,0.9066550,357.8464340,-70.1528620
FP,2.3664127,2.5910000,300.0000000,,,,,,301.3177090,30.6706700
KP,1.7635881,3.0920000,6650.0000000,,2608.0000000,7685.7900000,7986.1000000,,286.9713880,46.8682460
PC,7.3166682,3.2550000,3210.0000000,,1647.0000000,1221.8200000,8730.0000000,,305.2893440,41.4623660
PC,3.0771612,2.6914319,4703.2844346,,1827.6445751,2636.8654415,9311.3000000,,294.0917570,19.6392550
FP,3.2077145,2.7080000,9640.0000000,,,,,,307.3366130,37.5085610
KP,2.2552845,2.0500000,20820.0000000,14.6880000,1348.0000000,549.7150000,5787.0000000,0.9600000,232.1466410,66.3587100
FP,1.8824539,2.4600000,1391.0000000,8.2900800,3091.0000000,15173.2000000,5900.4000000,1.1300000,293.7649810,37.5385900
FP,15.1960000,1.7920000,1970.0000000,4.9634500,,,5807.0000000,1.1400000,198.1523780,71.6181390
FP,2.1358631,1.5590000,10325.0000000,23.6019000,1745.0000000,1540.9500000,5969.0000000,1.5000000,301.7104660,38.4310230
PC,6.7075429,2.1250000,11920.0000000,17.4647000,1079.0000000,225.8220000,6134.3000000,1.2400000,134.1200390,72.5332760
KP,3.5862962,3.3710943,5729.3246858,16.4747611,1658.3915202,1787.5955937,5704.8000000,2.0044100,15.0060770,-58.9047240
FP,1.8296155,2.1660000,1406.0000000,29.3616000,3751.0000000,32867.0000000,7875.0000000,3.5000000,300.8051150,52.0408420
FP,11.1876137,3.1830000,4924.0000000,31.8624000,1499.0000000,838.6090000,7266.0000000,2.0500000,299.2738620,35.9883590
FP,7.8513949,6.8350000,22029.0000000,,,,,,282.4745390,55.2663900
CP,7.0643978,2.4240000,8268.0000000,9.3913100,890.0000000,104.3110000,5429.6000000,0.9600000,197.6830970,70.7680120
CP,8.9534775,2.6960000,1136.0000000,2.3588800,723.0000000,45.5604000,5029.5000000,0.7600000,209.2171750,68.6182110
FP,7.5022708,2.6050000,1760.0000000,5.5581200,940.0000000,129.8660000,6229.0000000,1.2700000,289.2386880,31.3235740
PC,14.0077666,5.8727493,5924.8349672,12.4023108,1028.5320293,264.4796635,6557.7000000,1.5743500,247.3566800,71.5058730
FP,1.6928920,2.8860000,1418.0000000,11.2371000,5800.0000000,187927.0000000,9121.5000000,2.1000000,297.3000400,41.3268440
FP,2.6652007,3.4900000,819.0000000,2.3596400,2045.0000000,2905.3500000,4043.4000000,0.5600000,279.1010360,55.3917810
