# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Oct  5 00:48:44 2025
#
# User preference: *
#
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
#
koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_steff,koi_srad,ra,dec
CONFIRMED,3.689920099,2.65570,4.2670e+02,1.89,1147.0,408.99,5880.00,0.9170,291.622410,50.618240
CONFIRMED,4.431238488,3.15000,1.0109e+03,3.25,1104.0,351.23,5714.00,1.0150,295.816160,51.121738
CONFIRMED,11.379369860,2.62550,1.0235e+03,3.95,806.0,99.68,5714.00,1.0150,295.816160,51.121738
CONFIRMED,26.394328970,3.57300,1.5109e+03,3.07,489.0,13.49,5129.00,0.7630,289.399720,51.250320
CONFIRMED,13.570782810,3.35390,5.1170e+02,2.64,785.0,89.61,5854.00,1.0120,300.863980,44.337551
CONFIRMED,7.125943870,3.00140,1.9240e+02,1.79,997.0,233.31,5779.00,1.0870,287.887330,46.276241
FALSE POSITIVE,7.442652004,2.30780,2.4446e+04,15.03,967.0,206.78,6108.00,0.9560,288.986820,49.733742
CONFIRMED,16.384899880,3.02490,1.1271e+03,2.00,433.0,8.35,4126.00,0.6150,286.738040,49.975750
CONFIRMED,7.877416300,2.08050,1.3061e+03,2.16,553.0,22.18,4126.00,0.6150,286.738040,49.975750
CONFIRMED,36.445400100,4.00700,1.1223e+03,1.99,332.0,2.88,4126.00,0.6150,286.738040,49.975750
CONFIRMED,3.728732147,2.68300,5.2265e+03,6.02,1023.0,258.34,5497.00,0.8090,290.785740,50.054119
CANDIDATE,40.419503700,3.36200,6.2560e+03,7.51,467.0,11.29,5446.00,0.7810,294.316860,50.080231
CONFIRMED,2.243380573,1.11960,8.2170e+02,1.99,822.0,107.60,4149.00,0.5640,285.176210,50.149818
FALSE POSITIVE,10.405998015,6.50360,1.4489e+04,11.23,833.0,113.94,5746.00,0.9240,289.235530,50.241001
CONFIRMED,2.337437946,1.99820,9.7120e+02,2.34,1070.0,311.16,5005.00,0.7650,293.833310,50.230350
CANDIDATE,7.240661200,0.55800,5.5640e+02,19.45,734.0,68.63,5005.00,0.7650,293.833310,50.230350
CANDIDATE,3.435916310,3.13300,2.3200e+01,0.55,1272.0,617.61,5779.00,1.0870,287.887330,46.276241
CONFIRMED,11.598222330,2.52370,2.8045e+03,2.65,396.0,5.82,3688.00,0.4730,296.221950,50.287220
CONFIRMED,6.575315881,4.30840,2.7933e+03,5.31,1015.0,251.38,5992.00,0.9890,290.098050,50.321609
CONFIRMED,7.275040844,7.53770,3.0010e+03,4.86,833.0,113.64,5485.00,0.8670,295.455290,50.494560
CONFIRMED,19.271538920,2.75940,1.2198e+03,1.93,393.0,5.66,4077.00,0.5600,293.973360,50.531910
CONFIRMED,10.065243170,1.36900,1.0533e+03,1.91,488.0,13.43,4077.00,0.5600,293.973360,50.531910
CONFIRMED,12.393565100,3.88960,9.1660e+02,2.66,677.0,49.68,5557.00,0.7500,296.021330,50.567780
CONFIRMED,43.844397210,6.80200,6.1520e+02,2.87,531.0,18.77,5854.00,1.0120,300.863980,44.337551
FALSE POSITIVE,3.341913228,3.81300,7.2530e+02,21.55,1032.0,268.67,5295.00,0.8110,292.315950,38.270290
FALSE POSITIVE,1.626630225,2.11450,1.6206e+03,32.43,1547.0,1355.88,5735.00,0.9730,294.368190,38.310280
CONFIRMED,2.711504086,3.00990,8.3750e+02,3.12,1420.0,960.79,6214.00,1.0760,291.653530,38.494659
CONFIRMED,7.212037480,4.04910,9.5040e+02,3.32,1025.0,260.58,6214.00,1.0760,291.653530,38.494659
FALSE POSITIVE,14.179818700,2.50500,4.5990e+02,1.88,711.0,60.35,5799.00,0.8780,291.044800,51.321671
CONFIRMED,8.472379110,2.72450,1.1235e+03,2.59,751.0,75.44,5354.00,0.7880,296.366520,51.319519
CONFIRMED,60.418936900,5.03900,9.3130e+02,2.36,390.0,5.49,5354.00,0.7880,296.366520,51.319519
CONFIRMED,12.611904345,5.14970,6.1056e+03,7.40,753.0,76.15,5795.00,0.9190,289.112210,51.737381
FALSE POSITIVE,1.433769925,1.88680,1.9763e+03,46.58,1920.0,3209.29,6017.00,1.3390,290.843690,37.728828
FALSE POSITIVE,10.318723010,3.83600,8.7170e+02,28.59,876.0,139.26,5927.00,1.0600,291.848910,37.713501
CONFIRMED,2.539183147,2.42820,3.8210e+02,2.06,1332.0,743.09,5519.00,1.0620,291.439970,37.905659
CONFIRMED,6.770300385,2.08440,1.3040e+03,2.77,812.0,102.87,5653.00,0.6790,290.870510,38.273628
FALSE POSITIVE,0.444291966,2.07920,1.0967e+04,27.51,1836.0,2706.26,5255.00,0.6360,290.996890,38.284920
CANDIDATE,10.181584004,3.50890,5.7411e+03,7.73,812.0,102.91,5988.00,0.8360,291.281950,38.241669
CONFIRMED,20.060363360,3.32030,1.4947e+03,1.96,361.0,4.00,3950.00,0.4930,286.079130,39.278320
CONFIRMED,46.184203900,4.75800,1.3947e+03,1.83,273.0,1.32,3950.00,0.4930,286.079130,39.278320
CONFIRMED,23.980085400,5.35100,1.0400e+02,1.31,649.0,41.94,5854.00,1.0120,300.863980,44.337551
CONFIRMED,7.825021680,2.18600,5.2080e+02,1.20,494.0,14.05,3950.00,0.4930,286.079130,39.278320
CONFIRMED,3.895936525,2.31110,8.5448e+03,7.34,1005.0,241.62,5557.00,0.7740,294.655240,39.308361
CONFIRMED,22.366464660,5.22800,9.8680e+02,2.32,536.0,19.45,5395.00,0.7340,294.710630,39.521740
CONFIRMED,1.625522174,2.38963,7.9690e+03,9.73,1579.0,1467.41,5539.00,1.1060,293.871920,38.422939
CANDIDATE,19.620346923,2.00380,2.1725e+04,13.60,643.0,40.39,5710.00,0.9050,293.816190,38.563568
FALSE POSITIVE,7.544039000,6.22200,3.2260e+02,17.47,838.0,116.46,5657.00,0.8240,293.941160,38.601101
CONFIRMED,9.029306890,3.14490,1.0198e+03,2.57,757.0,77.75,5349.00,0.8200,290.333620,38.728230
FALSE POSITIVE,10.328035714,7.79150,1.6918e+04,13.28,843.0,119.31,5627.00,1.0240,287.696750,38.886452
CONFIRMED,143.206304700,8.93020,1.0566e+04,8.90,308.0,2.14,5485.00,0.8670,285.283630,38.947281
CONFIRMED,6.164876000,3.26200,5.5800e+01,0.79,1021.0,256.35,5854.00,1.0120,300.863980,44.337551
CONFIRMED,60.324942160,6.61880,2.0280e+04,12.19,411.0,6.77,5485.00,0.8670,285.283630,38.947281
CONFIRMED,29.159861500,4.80300,4.8800e+02,1.91,524.0,17.85,5485.00,0.8670,285.283630,38.947281
FALSE POSITIVE,1.540397253,2.15410,8.1610e+02,25.69,1470.0,1105.68,5663.00,0.9150,286.926390,38.921631
FALSE POSITIVE,2.990254430,5.41400,5.8920e+02,1.70,918.0,168.45,4667.00,0.7310,287.748810,38.929550
CONFIRMED,1.594745374,1.96040,1.5044e+04,11.30,1539.0,1329.42,5934.00,0.8930,285.213810,39.027481
CONFIRMED,4.783002698,2.33500,1.0087e+03,2.50,886.0,145.48,5170.00,0.8070,287.093990,39.060719
CONFIRMED,20.505889210,4.05950,2.1055e+03,3.41,518.0,17.06,4905.00,0.7610,289.315430,39.153278
CONFIRMED,3.340218842,1.91040,1.6326e+03,2.03,656.0,43.73,3950.00,0.4930,286.079130,39.278320
FALSE POSITIVE,2.507089906,2.00670,1.3392e+03,30.26,1326.0,730.47,5926.00,0.9390,295.378050,40.493401
CONFIRMED,18.649327280,4.40560,8.9360e+02,3.12,701.0,57.13,5775.00,1.0530,290.461760,40.562462
CONFIRMED,4.901449760,4.16540,1.4070e+02,1.70,1262.0,598.74,5847.00,1.4020,297.028260,48.208611
CONFIRMED,9.751921010,4.79300,4.1800e+02,2.76,870.0,135.66,5775.00,1.0530,290.461760,40.562462
CONFIRMED,38.557654600,5.79400,9.9300e+02,4.02,550.0,21.71,5775.00,1.0530,290.461760,40.562462
CONFIRMED,3.525632539,2.59959,2.2335e+04,11.58,975.0,213.12,5150.00,0.7930,290.581730,40.577400
CANDIDATE,34.843986440,2.93150,4.5236e+03,7.61,511.0,16.10,5509.00,0.8710,285.920010,39.624828
CONFIRMED,7.748094239,3.59570,2.4721e+03,5.52,964.0,204.39,5973.00,1.0850,294.489900,39.771439
CONFIRMED,23.967936690,3.82700,1.1823e+03,1.80,329.0,2.77,3747.00,0.5240,283.866390,39.898079
CONFIRMED,8.295617380,1.34210,8.2430e+02,1.82,469.0,11.39,3747.00,0.5240,283.866390,39.898079
CONFIRMED,8.114374820,2.27360,1.5580e+03,2.10,460.0,10.55,3692.00,0.5170,288.812010,40.033401
FALSE POSITIVE,38.036729482,4.34617,8.2872e+04,27.50,500.0,14.81,5575.00,0.9320,294.147890,40.055538
CANDIDATE,4.640900310,35.51200,2.4506e+03,30.09,1155.0,421.08,6463.00,0.8260,295.113710,40.071171
FALSE POSITIVE,3.747838198,5.06420,6.1600e+02,13.65,1031.0,266.76,5514.00,0.8260,291.061520,50.265129
CONFIRMED,14.749148250,6.09950,4.3020e+02,2.89,874.0,137.91,5847.00,1.4020,297.028260,48.208611
CONFIRMED,21.812959960,4.37910,1.1754e+03,3.38,639.0,39.33,5601.00,0.9990,294.776860,40.153740
FALSE POSITIVE,7.919369370,3.31480,1.5148e+04,10.34,814.0,104.00,5690.00,0.7760,283.538450,40.217999
CANDIDATE,1.028436523,1.86060,8.0980e+03,72.77,1947.0,3400.48,6228.00,0.9900,296.006990,40.295429
CONFIRMED,15.375623690,3.31690,1.5337e+04,11.01,600.0,30.54,4986.00,0.8330,283.253540,40.358189
CONFIRMED,8.103632710,3.16100,8.8790e+02,2.11,687.0,52.82,4861.00,0.7320,283.221410,40.421829
CONFIRMED,4.715108430,2.50600,4.1750e+02,1.46,823.0,108.84,4861.00,0.7320,283.221410,40.421829
CONFIRMED,6.365839713,2.97210,7.8070e+02,2.44,914.0,165.33,5776.00,0.8490,291.149510,40.420521
FALSE POSITIVE,5.975817540,3.06500,9.6240e+02,3.86,1047.0,284.25,6108.00,0.9970,294.223970,40.417858
FALSE POSITIVE,2.446737317,4.72110,1.1779e+03,26.25,1261.0,597.19,5764.00,0.8630,298.961120,40.862808
CONFIRMED,3.040330460,1.84110,1.0859e+04,8.99,1021.0,257.29,5035.00,0.7910,299.316100,40.822380
CONFIRMED,15.335286750,3.89700,3.0814e+03,5.00,610.0,32.67,5251.00,0.8170,292.236760,41.085880
CONFIRMED,7.958253280,4.37700,5.0000e+01,1.06,1074.0,314.15,5847.00,1.4020,297.028260,48.208611
CONFIRMED,31.330461350,5.17600,5.0738e+03,6.50,481.0,12.61,5251.00,0.8170,292.236760,41.085880
FALSE POSITIVE,3.904342500,3.83100,1.6228e+04,12.28,1104.0,351.05,5810.00,0.8980,294.056760,40.549679
FALSE POSITIVE,9.286358079,3.49949,4.4791e+04,17.61,796.0,95.03,5670.00,0.8210,294.743960,40.533920
FALSE POSITIVE,3.951405455,2.18620,2.4539e+03,31.44,1133.0,388.71,6046.00,0.8690,295.504390,40.505489
CONFIRMED,23.653694150,8.21830,3.3418e+03,7.89,731.0,67.65,5739.00,1.3840,287.897130,40.637821
CONFIRMED,13.233522140,6.73720,5.0460e+02,3.06,888.0,146.67,5739.00,1.3840,287.897130,40.637821
CONFIRMED,6.155602850,4.98430,2.8500e+02,2.32,1146.0,406.94,5739.00,1.3840,287.897130,40.637821
CONFIRMED,2.090811305,3.38800,1.1590e+02,1.62,1642.0,1718.04,5739.00,1.3840,287.897130,40.637821
CONFIRMED,3.180027898,3.57970,1.2030e+02,1.53,1458.0,1066.86,5847.00,1.4020,297.028260,48.208611
CONFIRMED,50.446741700,7.15900,3.7030e+02,2.67,568.0,24.64,5739.00,1.3840,287.897130,40.637821
CONFIRMED,11.763071640,2.90760,1.0373e+03,2.35,616.0,33.99,4959.00,0.7560,294.202150,40.663410
CONFIRMED,56.227927100,3.57000,8.6270e+02,2.37,366.0,4.22,4959.00,0.7560,294.202150,40.663410
FALSE POSITIVE,2.384052875,3.09180,1.2681e+03,17.06,1010.0,244.87,4794.00,0.7010,299.642850,40.691238
CONFIRMED,7.953547000,2.63120,8.7540e+02,2.25,696.0,55.37,4768.00,0.7790,291.158780,40.750271
CONFIRMED,4.144516560,2.34210,3.9180e+02,1.48,864.0,132.08,4768.00,0.7790,291.158780,40.750271
FALSE POSITIVE,4.859386384,2.27570,6.0443e+03,38.33,1114.0,364.23,6072.00,0.9880,292.214360,40.759762
CONFIRMED,10.526294577,2.52110,9.7680e+03,8.24,713.0,61.16,5386.00,0.7930,293.878110,41.661770
CONFIRMED,4.583520948,2.70550,3.8121e+03,5.39,1038.0,274.98,5815.00,0.8770,299.186860,41.742680
CONFIRMED,3.761818430,3.51760,5.1060e+02,2.66,1121.0,372.62,5653.00,0.9490,283.316380,41.837120
CONFIRMED,8.203969580,2.96670,1.0244e+03,3.01,742.0,71.50,5015.00,0.8260,286.565700,41.808399
CONFIRMED,14.496451860,4.01600,6.4750e+02,3.01,613.0,33.48,5015.00,0.8260,286.565700,41.808399
CONFIRMED,6.546261490,2.75000,6.5590e+02,2.19,810.0,101.78,5251.00,0.8170,292.236760,41.085880
CONFIRMED,12.718098660,3.09570,1.1494e+03,2.31,562.0,23.60,4702.00,0.6860,292.913120,41.060921
CONFIRMED,36.065881630,4.32460,1.5638e+03,2.64,397.0,5.88,4702.00,0.6860,292.913120,41.060921
CONFIRMED,4.190425659,2.85890,2.8774e+03,6.21,1234.0,547.90,6073.00,1.1350,293.496610,41.137589
CONFIRMED,3.709870784,3.06940,2.0203e+03,4.35,1151.0,415.10,5727.00,0.9780,283.864410,41.346458
CONFIRMED,16.329752700,6.27100,1.1875e+03,3.75,727.0,66.08,5878.00,0.9870,288.510010,41.301769
CONFIRMED,27.807566216,4.21587,2.5391e+04,13.84,554.0,22.24,5862.00,0.7850,296.888210,41.396091
CONFIRMED,80.872346900,11.19500,3.6046e+03,7.59,452.0,9.88,5510.00,1.2380,287.154300,41.565788
FALSE POSITIVE,3.166465862,2.93810,4.3572e+03,26.82,954.0,196.31,4968.00,0.7040,284.869290,41.679192
CONFIRMED,24.993243190,5.94090,2.6960e+02,2.29,712.0,60.88,5718.00,1.3170,287.362790,38.649601
CONFIRMED,10.355331160,3.17750,7.5060e+02,2.47,777.0,86.22,5501.00,0.9180,288.994200,41.633282
CONFIRMED,16.085189370,3.98400,1.4424e+03,3.68,613.0,33.43,5239.00,0.8260,292.105190,42.380322
CANDIDATE,235.998639900,8.22840,2.0715e+04,10.59,188.0,0.29,4245.00,0.6570,293.007970,42.307201
CONFIRMED,7.490183050,2.72970,1.1236e+03,2.56,753.0,76.06,5103.00,0.7870,291.638980,42.436321
CONFIRMED,36.276123800,4.78650,1.5726e+03,3.03,445.0,9.29,5103.00,0.7870,291.638980,42.436321
CONFIRMED,17.460879310,2.26410,8.1240e+02,2.32,568.0,24.60,5103.00,0.7870,291.638980,42.436321
CONFIRMED,56.056075400,4.68500,1.6260e+03,1.94,233.0,0.69,3593.00,0.4910,289.508480,41.812119
CONFIRMED,41.408316686,5.02640,2.2839e+04,11.38,453.0,9.93,5522.00,0.7470,291.760410,41.944069
CANDIDATE,39.748930770,7.30510,1.5179e+04,14.21,552.0,21.87,6122.00,0.9640,293.179290,41.969238
CONFIRMED,5.715425977,2.52420,9.0810e+02,2.47,850.0,123.03,5237.00,0.8260,285.110470,42.033958
CONFIRMED,49.183941850,11.33640,1.6462e+03,8.20,669.0,47.40,5626.00,2.0570,294.559170,46.062328
CONFIRMED,20.026141200,1.61100,4.2120e+02,2.28,559.0,23.14,5237.00,0.8260,285.110470,42.033958
CANDIDATE,13.610148190,2.59400,5.7329e+03,19.02,733.0,68.29,5697.00,0.9030,289.897770,42.009151
FALSE POSITIVE,10.443319910,2.74300,1.1598e+03,2.66,667.0,46.94,4947.00,0.8020,286.243560,42.148811
CONFIRMED,2.237489571,1.81190,3.1580e+02,1.41,1160.0,427.17,5265.00,0.8100,290.007570,42.116459
FALSE POSITIVE,5.851520671,3.11058,3.3004e+04,14.62,901.0,155.89,5532.00,0.8060,284.087310,42.233231
CONFIRMED,3.167893418,2.18140,7.8120e+02,2.62,1221.0,526.23,5895.00,0.9400,293.816470,42.212502
CONFIRMED,4.311780262,2.72510,1.1540e+03,3.11,1038.0,274.84,5527.00,0.9270,287.242680,42.301369
CONFIRMED,20.050449400,4.55600,8.4090e+02,2.69,622.0,35.44,5527.00,0.9270,287.242680,42.301369
CONFIRMED,9.767345030,1.65850,5.6910e+02,2.67,791.0,92.46,5527.00,0.9270,287.242680,42.301369
CANDIDATE,119.020704400,8.14050,7.4305e+03,8.98,366.0,4.25,5453.00,1.0620,291.583770,42.368160
CONFIRMED,190.320046800,15.28400,1.1417e+03,7.78,426.0,7.80,5626.00,2.0570,294.559170,46.062328
FALSE POSITIVE,2.861159894,1.88320,1.0143e+03,4.37,1355.0,797.10,6126.00,1.0210,291.671720,42.343109
CONFIRMED,26.444393370,3.97830,1.8435e+03,3.91,562.0,23.54,5427.00,0.9290,292.873380,42.966141
CONFIRMED,51.539979720,6.39940,3.6443e+03,5.51,450.0,9.67,5427.00,0.9290,292.873380,42.966141
CONFIRMED,5.902245782,2.90030,7.0230e+02,2.43,926.0,173.74,5427.00,0.9290,292.873380,42.966141
CONFIRMED,2.382951591,1.88760,3.9160e+02,1.86,1253.0,583.01,5427.00,0.9290,292.873380,42.966141
CONFIRMED,21.022506080,4.10720,1.7725e+03,3.07,521.0,17.48,5067.00,0.7500,294.909730,42.935261
CONFIRMED,3.219814777,2.06420,4.8820e+02,1.69,998.0,234.93,5103.00,0.7870,291.638980,42.436321
CONFIRMED,5.912273234,2.32540,9.6140e+02,1.73,585.0,27.72,4072.00,0.5700,292.137020,42.429420
CONFIRMED,8.985819010,2.86060,8.8130e+02,1.65,509.0,15.90,4072.00,0.5700,292.137020,42.429420
CANDIDATE,12.940668656,2.48450,4.2450e+04,22.94,723.0,64.64,5875.00,0.8090,291.119690,42.507069
FALSE POSITIVE,20.545237500,2.51700,2.1850e+02,2.41,742.0,71.57,5670.00,1.2640,294.401920,50.172089
CONFIRMED,33.601233710,4.40560,7.4259e+03,8.46,495.0,14.22,5149.00,0.9300,289.268740,42.604172
CONFIRMED,6.766529280,2.90040,4.5070e+02,1.97,845.0,120.48,5149.00,0.9300,289.268740,42.604172
CONFIRMED,4.347288783,2.10240,4.5160e+02,2.36,1174.0,449.79,5754.00,1.1220,291.964170,42.696140
CONFIRMED,4.601811819,2.26070,7.5590e+02,2.35,896.0,152.91,4986.00,0.8330,296.483430,42.663429
CONFIRMED,11.187199050,3.25200,3.5360e+02,1.55,667.0,46.65,4986.00,0.8330,296.483430,42.663429
CONFIRMED,4.220965778,3.08540,2.2600e+03,2.62,595.0,29.68,3837.00,0.5170,296.693940,42.626110
FALSE POSITIVE,6.998099523,2.04880,2.0285e+04,588.66,853.0,125.22,5612.00,0.8290,287.884120,42.832439
CONFIRMED,5.954899930,2.38920,1.4107e+03,2.33,635.0,38.52,4261.00,0.6330,293.636960,42.824970
CONFIRMED,12.039874880,2.73630,1.2506e+03,2.18,502.0,15.06,4261.00,0.6330,293.636960,42.824970
CONFIRMED,20.837628950,2.37340,4.3900e+02,1.42,418.0,7.24,4261.00,0.6330,293.636960,42.824970
FALSE POSITIVE,8.811102200,5.06830,4.0110e+02,63.66,1399.0,904.92,6200.00,2.4040,294.460880,38.383461
CONFIRMED,23.589171430,5.07300,1.2007e+03,3.16,487.0,13.34,4919.00,0.7210,297.460020,42.839920
CONFIRMED,6.481633073,3.78400,2.9850e+02,2.54,1145.0,406.25,5945.00,1.3020,290.392730,40.284870
CONFIRMED,10.371689280,3.03500,1.2549e+03,3.20,720.0,63.68,5121.00,0.8880,290.393220,43.363899
CONFIRMED,3.969962980,1.17570,2.9920e+02,1.78,992.0,229.37,5121.00,0.8880,290.393220,43.363899
CONFIRMED,4.408413310,5.01200,5.4940e+02,2.66,1139.0,398.00,6007.00,0.9610,292.965550,43.346390
FALSE POSITIVE,7.942617600,6.70300,1.5907e+03,4.68,878.0,140.57,5811.00,0.9260,299.001430,43.399632
CONFIRMED,226.890477500,7.55800,3.1364e+03,4.53,236.0,0.73,5067.00,0.7500,294.909730,42.935261
FALSE POSITIVE,1.956811408,2.19580,2.4905e+04,21.58,1109.0,357.16,5209.00,0.6030,295.835360,42.943062
CANDIDATE,2.688899233,2.11275,3.7492e+04,12.04,929.0,175.76,4820.00,0.6390,296.683070,42.967869
CONFIRMED,9.439459486,2.89790,3.0361e+03,4.16,686.0,52.32,5097.00,0.7790,288.642520,43.039291
CONFIRMED,11.523067458,3.87570,5.0730e+02,3.13,927.0,174.81,5644.00,1.4110,284.482450,44.398041
